ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"168.228.51.197","elite","AS262145","CR","Cooperativa de Electrificación Rural de San Carlos R.L. (Coopelesca R.L.)","149","Cooperativa de Electrificación Rural de San Carlos R.L. (Coopelesca R.L.)","41037","socks4","2605","1","2023-08-27T07:51:00.342Z","100","3452","3460"
"203.13.32.218","elite","AS209242","CY","Cloudflare London, LLC","84","Lachtaristo Holdings Limited","80","socks4","3690","1","2023-08-27T07:51:00.243Z","100","3519","3519"
"116.224.121.167","elite","AS4812","CN","China Telecom (Group)","186","Chinanet SH","4145","socks4","4805","1","2023-08-27T07:51:00.242Z","59","2038","3426"
"197.234.13.75","elite","AS36902","SC","Intelvision","164","Intelvision Ltd","4145","socks4","5093","1","2023-08-27T07:51:00.241Z","100","3512","3522"
"103.14.20.129","elite","AS131717","ID","PT Citra Jelajah Informatika","193","N/A","5678","socks4","1795","1","2023-08-27T07:51:00.245Z","98","3538","3600"
"197.234.13.6","elite","AS36902","SC","Intelvision","167","Intelvision Ltd","4145","socks4","1796","1","2023-08-27T07:51:00.240Z","100","3502","3515"
"66.33.212.139","elite","AS26347","US","New Dream Network, LLC","85","New Dream Network, LLC","3579","socks4","4402","1","2023-08-27T07:50:55.250Z","100","3529","3535"
"43.153.103.219","elite","AS132203","US","Aceville Pte.ltd","199","N/A","443","socks5","4909","1","2023-08-27T07:50:55.334Z","64","2314","3596"
"190.109.72.17","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","284","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","33633","socks4","4997","1","2023-08-27T07:50:55.342Z","98","3546","3614"
"14.207.206.27","elite","AS45629","TH","Triple T Broadband Public Company Limited","189","Triple T Broadband Public Company Limited","5678","socks4","4710","1","2023-08-27T07:50:55.338Z","93","3304","3557"
"103.77.226.1","elite","AS64298","ID","UPN Veteran Surabaya","189","UPN Veteran Surabaya","4153","socks4","4903","1","2023-08-27T07:50:55.339Z","93","3362","3612"
"36.67.186.76","elite","AS7713","ID","PT. Telekomunikasi Indonesia","186","N/A","61221","socks4","4294","82","2023-08-27T07:50:49.942Z","67","2366","3513"
"45.7.177.194","elite","AS266626","BR","Litoral Telecom","172","Litoral Telecom","39867","socks4","4301","1","2023-08-27T07:50:49.944Z","99","3565","3619"
"45.235.151.50","elite","AS268202","BR","F R BRAGA INFORMATICA ME","300","F R BRAGA INFORMATICA ME","3629","socks4","4684","1","2023-08-27T07:50:49.949Z","99","3565","3594"
"68.183.221.156","elite","AS14061","DE","DigitalOcean, LLC","33","DigitalOcean, LLC","34297","socks4","4618","1","2023-08-27T07:50:49.940Z","100","3574","3575"
"103.47.93.248","elite","AS134058","IN","Broban Internet Services Pvt.ltd","190","Broban  PVT Ltd.","1080","socks4","4902","1","2023-08-27T07:50:49.941Z","99","3539","3571"
"51.83.116.4","elite","AS16276","FR","OVH SAS","6","OVH","14330","socks4","4982","1","2023-08-27T07:50:49.945Z","100","3538","3540"
"103.76.190.210","elite","AS135758","IN","Alacriy Net System Service Private Limited","151","Alacriy Net System Service Private Limited","58275","socks5","4692","1","2023-08-27T07:50:49.943Z","99","3565","3608"
"36.92.96.179","elite","AS7713","ID","Telekomunikasi Indonesia","183","Temporary","5678","socks4","3904","1","2023-08-27T07:50:44.937Z","99","3566","3602"
"5.160.168.134","elite","AS42337","IR","Respina Networks & Beyond PJSC","105","Respina","5678","socks4","5093","1","2023-08-27T07:50:44.950Z","97","3395","3495"
"177.190.192.57","elite","AS262731","BR","Ctinet Solucoes EM Conectividade E Informatica LTD","200","Ctinet Solucoes EM Conectividade E Informatica LTD","61221","socks4","4604","1","2023-08-27T07:50:44.938Z","100","3563","3573"
"103.200.135.228","elite","AS134739","MM","AGB Communication Co.Ltd","203","N/A","4145","socks4","4802","2","2023-08-27T07:50:44.849Z","47","1660","3505"
"192.3.158.51","elite","AS36352","US","ColoCrossing","198","RackNerd LLC","1080","socks4","4213","1","2023-08-27T07:50:44.846Z","52","1813","3502"
"180.122.144.254","elite","AS4134","CN","Chinanet","197","Chinanet JS","1080","socks4","5114","1","2023-08-27T07:50:44.844Z","76","2665","3528"
"103.76.188.33","elite","AS135758","IN","Alacriy Net System Service Private Limited","198","Alacriy Net System Service Private Limited","4153","socks4","4701","1","2023-08-27T07:50:44.935Z","99","3518","3542"
"47.254.241.21","elite","AS45102","MY","Alibaba (US) Technology Co., Ltd.","282","Alibaba.com LLC","21491","socks4","4495","1","2023-08-27T07:50:40.145Z","92","3227","3515"
"103.115.255.1","elite","AS137868","BD","Star Internet Service","190","Md. Murad Hossain Ripon","36331","socks4","2510","82","2023-08-27T07:50:40.143Z","98","3411","3469"
"185.25.119.15","elite","AS200000","UA","Hosting Ukraine LTD","42","new Hosting","13959","socks5","4219","1","2023-08-27T07:50:40.144Z","97","3450","3572"
"138.201.248.43","elite","AS24940","DE","Hetzner Online GmbH","23","Hetzner","31043","socks5","4187","1","2023-08-27T07:50:40.140Z","94","3400","3602"
"110.74.195.33","elite","AS38901","KH","EZECOM limited","201","EZECOM limited","5678","socks4","3028","1","2023-08-27T07:50:35.149Z","95","3396","3590"
"212.42.113.240","elite","AS8449","KG","\"ElCat\" Ltd.","112","ElCat, Ltd.","37545","socks4","4906","82","2023-08-27T07:50:35.145Z","99","3530","3559"
"123.181.151.91","elite","AS4134","CN","Chinanet","213","Chinanet HE","1081","socks5","4201","1","2023-08-27T07:50:35.141Z","47","1633","3466"
